,Obtained,Name,Source
169,,Royal Remains Armor,"Enemy drop: Ensha ,"
170,,All-Knowing Armor,"Enemy drop: Sir Gideon Ofnir, the All-Knowing ,"
171,,All-Knowing Armor (Altered),Crafted with All-Knowing Armor
172,,Royal Knight Armor,Buy from merchant: Enia
173,,Royal Knight Armor (Altered),Crafted with Royal Knight Armor
174,,Maliketh's Armor,Buy from merchant: Enia
175,,Maliketh's Armor (Altered),Crafted with Maliketh's Armor
176,,Banished Knight Armor,"Enemy drop: Banished Knight (Chance),"
177,,Banished Knight Armor (Altered),"Enemy drop: Banished Knight (Chance),"
178,,Night's Cavalry Armor,"Enemy drop: Night's Cavalry in Consecrated Snowfield,"
179,,Night's Cavalry Armor (Altered),Crafted with Night's Cavalry Armor
180,,Veteran's Armor,Buy from merchant: Enia
181,,Veteran's Armor (Altered),Crafted with Veteran's Armor
182,,Scaled Armor,"Quest: Volcano Manor Enemy drop: Old Knight Istvan ,"
183,,Scaled Armor (Altered),Crafted with Scaled Armor
184,,Beast Champion Armor,"Quest: Knight Bernahl Enemy drop: Recusant Bernahl ,"
185,,Beast Champion Armor (Altered),"Crafted with Beast Champion Armor Quest: Knight Bernahl Enemy drop: Recusant Bernahl ,"
186,,Tree Sentinel Armor,"Enemy drop: Chariot in Auriza Hero's Grave,"
187,,Tree Sentinel Armor (Altered),Crafted with Tree Sentinel Armor
188,,Malformed Dragon Armor,"Enemy drop: Draconic Tree Sentinel in Crumbling Farum Azula,"
189,,Crucible Axe Armor,"Enemy drop: Crucible Knight Ordovis ,"
190,,Crucible Axe Armor (Altered),Crafted with Crucible Axe Armor
191,,Crucible Tree Armor,On ground: Deeproot Depths
192,,Crucible Tree Armor (Altered),Crafted with Crucible Tree Armor
193,,Radahn's Lion Armor,Buy from merchant: Enia
194,,Radahn's Lion Armor (Altered),Crafted with Radahn's Lion Armor
195,,Lionel's Armor,On ground: Leyndell Royal Capital
196,,Lionel's Armor (Altered),Crafted with Lionel's Armor
197,,Bull-Goat Armor,"Quest: Volcano Manor Enemy drop: Great Horned Tragoth (Chance),"
198,,Omen Armor,Quest: Dung Eater
199,,Fire Prelate Armor,"Enemy drop: Prelate (Chance),"
200,,Fire Prelate Armor (Altered),"Enemy drop: Prelate (Chance),"
201,,Ansbach's Attire,
202,,Ansbach's Attire (Altered),
203,,Armor of Night,
204,,Armor of Solitude,
205,,Armor of Solitude (Altered),
206,,Ascetic's Loincloth,
207,,Black Knight Armor,
208,,Braided Cord Robe,
209,,Common Soldier Cloth Armor,
210,,Dancer's Dress,
211,,Dancer's Dress (Altered),
212,,Death Knight Armor,
213,,Divine Beast Warrior Armor,
214,,Divine Bird Warrior Armor,
215,,Dryleaf Robe,
216,,Dryleaf Robe (Altered),
217,,Finger Robe,
218,,Fire Knight Armor,
219,,Fire Knight Armor (Altered),
220,,Freyja's Armor,
221,,Freyja's Armor (Altered),
222,,Gaius's Armor,
223,,Gloried Attire,
224,,Gravebird Armor,
225,,Gravebird's Blackquill Armor,
226,,High Priest Robe,
227,,Highland Attire,
228,,Horned Warrior Armor,
229,,Igon's Armor,
230,,Igon's Armor (Altered),
231,,Iron Rivet Armor,
232,,Leda's Armor,
233,,Messmer Soldier Armor,
234,,Messmer Soldier Armor (Altered),
235,,Messmer's Armor,
236,,Oathseeker Knight Armor,
237,,Rakshasa Armor,
238,,Rellana's Armor,
239,,Shadow Militiaman Armor,
240,,Thiollier's Garb,
241,,Thiollier's Garb (Altered),
242,,Verdigris Armor,
243,,Young Lion's Armor,
244,,Young Lion's Armor (Altered),
0,,Traveler's Manchettes,"On ground: Elphael, Brace of the Haligtree"
1,,Guardian Bracers,"Enemy drop: Guardian (Chance),"
2,,Bloodsoaked Manchettes,On ground: Subterranean Shunning-Grounds
3,,Mushroom Arms,On ground: Seethewater Cave
4,,Astrologer Gloves,Buy from merchant: Nomadic Merchant Liurnia of the Lakes
5,,Sorcerer Manchettes,"Enemy drop: Glintstone Sorcerer (Chance), Twinsage Sorcerer (Chance),"
6,,Battlemage Manchettes,"Enemy drop: Battlemage (Chance),"
7,,Errant Sorcerer Manchettes,On ground: Hermit Village
8,,Spellblade's Gloves,Quest: Sorcerer Rogier
9,,Alberich's Bracers,On ground: Leyndell Royal Capital
10,,Preceptor's Gloves,Quest: Preceptor Seluvis
11,,Azur's Manchettes,Quest: Sorceress Sellen
12,,Lusat's Manchettes,Quest: Sorceress Sellen
13,,Queen's Bracelets,Buy from merchant: Enia
14,,Traveling Maiden Gloves,On ground: Shack of the Lofty
15,,Gold Bracelets,Quest: Brother Corhyn
16,,Perfumer Gloves,"Enemy drop: Perfumer (Chance),"
17,,Traveler's Gloves,On ground: Street of Sages Ruins
18,,Depraved Perfumer Gloves,"Enemy drop: Depraved Perfumer (Chance),"
19,,Godskin Apostle Bracelets,"Enemy drop: Godskin Apostle in Divine Tower of Caelid,"
20,,Godskin Noble Bracelets,"Enemy drop: Godskin Noble in Divine Tower of Liurnia,"
21,,Leather Gloves,"Quest: Patches Enemy drop: Patches in The Shaded Castle,"
22,,Warrior Gauntlets,Buy from merchant: Isolated Merchant Raya Lucaria
23,,Noble's Gloves,On ground: East Windmill Pasture
24,,War Surgeon Gloves,"Enemy drop: Nameless White Mask ,"
25,,Bandit Manchettes,Buy from merchant: Gatekeeper Gostoc
26,,Confessor Gloves,Buy from merchant: Nomadic Merchant Mt. Gelmir
27,,Omenkiller Long Gloves,"Enemy drop: Omenkiller in Perfumer's Ruins,"
28,,Foot Soldier Gauntlets,"Enemy drop: Soldier in Purified Ruins (Chance),"
29,,Highwayman Gauntlets,"Enemy drop: Highwayman (Chance),"
30,,Vulgar Militia Gauntlets,"Enemy drop: Vulgar Militiamen (Chance),"
31,,Nox Bracelets,"Enemy drop: Nox Swordstress (Chance), Nox Monk (Chance), Night Maiden (Chance),"
32,,Champion Bracers,Buy from merchant: Nomadic Merchant Caelid South
33,,Gauntlets,Buy from merchant: Merchant Kalé
34,,Iron Gauntlets,Buy from merchant: Nomadic Merchant Castle Morne Rampart
35,,Godrick Soldier Gauntlets,"Enemy drop: Godrick Soldier (Sword & Shield) (Chance), Godrick Soldier (Sword) (Chance), Godrick Soldier (Warpick & Shield) (Chance),"
36,,Raya Lucarian Gauntlets,"Enemy drop: Raya Lucaria Soldier (Chance),"
37,,Radahn Soldier Gauntlets,"Enemy drop: Radahn Soldier (Chance),"
38,,Leyndell Soldier Gauntlets,"Enemy drop: Leyndell Soldier (Chance),"
39,,Haligtree Gauntlets,"Enemy drop: Haligtree Soldier (Chance),"
40,,Mausoleum Gauntlets,"Enemy drop: Mausoleum Soldier (Chance),"
41,,Exile Gauntlets,"Enemy drop: Exile Soldier (Chance),"
42,,Kaiden Gauntlets,"Enemy drop: Kaiden Sellsword (Chance),"
43,,Land of Reeds Gauntlets,Buy from merchant: Isolated Merchant Dragonbarrow
44,,White Reed Gauntlets,On ground: Spiritcaller's Cave
45,,Ronin's Gauntlets,Quest: Bloody Finger Hunter Yura
46,,Eccentric's Manchettes,Quest: Sorceress Sellen
47,,Blue Silver Bracelets,"Enemy drop: Albinauric Wolfback Archer (Chance),"
48,,Fire Monk Gauntlets,"Enemy drop: Fire Monk (Chance),"
49,,Blackflame Monk Gauntlets,"Enemy drop: Blackflame Monk (Chance),"
50,,Zamor Bracelets,"Enemy drop: Ancient Hero of Zamor in Giant-Conquering Hero's Grave,"
51,,Black Knife Gauntlets,On ground: Ordina Liturgical Town
52,,Malenia's Gauntlet,Buy from merchant: Enia
53,,Elden Lord Bracers,Buy from merchant: Enia
54,,Knight Gauntlets,Buy from merchant: Twin Maiden Husks
55,,Vagabond Knight Gauntlets,Buy from merchant: Hermit Merchant Mountaintops East
56,,Carian Knight Gauntlets,On ground: Raya Lucaria Academy
57,,Godrick Knight Gauntlets,"Enemy drop: Godrick Knight (Chance),"
58,,Cuckoo Knight Gauntlets,"Enemy drop: Raya Lucaria Knight (Chance),"
59,,Redmane Knight Gauntlets,"Enemy drop: Radahn Knight (Chance),"
60,,Gelmir Knight Gauntlets,On ground: Gelmir Hero's Grave
61,,Leyndell Knight Gauntlets,"Enemy drop: Leyndell Knight (Chance),"
62,,Haligtree Knight Gauntlets,"Enemy drop: Haligtree Knight (Chance),"
63,,Mausoleum Knight Gauntlets,"Enemy drop: Mausoleum Knight (Chance),"
64,,Bloodhound Knight Gauntlets,"Enemy drop: Bloodhound Knight (Gelmir Hero's Grave) in Gelmir Hero's Grave,"
65,,Cleanrot Gauntlets,"Enemy drop: Lesser Cleanrot Knight in Swamp of Aeonia (Chance),"
66,,Raging Wolf Gauntlets,"Quest: Volcano Manor Enemy drop: Vargram the Raging Wolf ,"
67,,Hoslow's Gauntlets,"Quest: Volcano Manor Enemy drop: Juno Hoslow, Knight of Blood ,"
68,,Twinned Gauntlets,"Quest: D, Hunter of the Dead"
69,,Drake Knight Gauntlets,On ground: Crumbling Farum Azula
70,,Blaidd's Gauntlets,Quest: Blaidd
71,,Briar Gauntlets,Buy from merchant: Enia
72,,Fingerprint Gauntlets,"Quest: Festering Fingerprint Vyke Enemy drop: Roundtable Knight Vyke ,"
73,,Royal Remains Gauntlets,"Enemy drop: Ensha ,"
74,,All-Knowing Gauntlets,"Enemy drop: Sir Gideon Ofnir, the All-Knowing ,"
75,,Royal Knight Gauntlets,Buy from merchant: Enia
76,,Maliketh's Gauntlets,Buy from merchant: Enia
77,,Banished Knight Gauntlets,"Enemy drop: Banished Knight (Chance),"
78,,Night's Cavalry Gauntlets,"Enemy drop: Night's Cavalry in Consecrated Snowfield,"
79,,Veteran's Gauntlets,Buy from merchant: Enia
80,,Scaled Gauntlets,"Quest: Volcano Manor Enemy drop: Old Knight Istvan ,"
81,,Beast Champion Gauntlets,"Quest: Knight Bernahl Enemy drop: Recusant Bernahl ,"
82,,Tree Sentinel Gauntlets,"Enemy drop: Chariot in Auriza Hero's Grave,"
83,,Malformed Dragon Gauntlets,"Enemy drop: Draconic Tree Sentinel in Crumbling Farum Azula,"
84,,Crucible Gauntlets,"On ground: Deeproot Depths Enemy drop: Crucible Knight Ordovis ,"
85,,Radahn's Gauntlets,Buy from merchant: Enia
86,,Lionel's Gauntlets,On ground: Leyndell Royal Capital
87,,Bull-Goat Gauntlets,"Quest: Volcano Manor Enemy drop: Great Horned Tragoth (Chance),"
88,,Omen Gauntlets,Quest: Dung Eater
89,,Fire Prelate Gauntlets,"Enemy drop: Prelate (Chance),"
90,,Ansbach's Manchettes,
91,,Ascetic's Wrist Guards,
92,,Black Knight Gauntlets,
93,,Braided Arm Wraps,
94,,Common Soldier Gauntlets,
95,,Dancer's Bracer,
96,,Death Knight Gauntlets,
97,,Divine Bird Warrior Gauntlets,
98,,Dryleaf Arm Wraps,
99,,Fire Knight Gauntlets,
100,,Freyja's Gauntlets,
101,,Gaius's Gauntlets,
102,,Gauntlets of Night,
103,,Gauntlets of Solitude,
104,,Gravebird Bracelets,
105,,High Priest Gloves,
106,,Horned Warrior Gauntlets,
107,,Igon's Gauntlets,
108,,Iron Rivet Gauntlets,
109,,Leather Arm Wraps,
110,,Messmer Soldier Gauntlets,
111,,Messmer's Gauntlets,
112,,Oathseeker Knight Gauntlets,
113,,Rakshasa Gauntlets,
114,,Rellana's Gloves,
115,,Shadow Militiaman Gauntlets,
116,,Thiollier's Gloves,
117,,Verdigris Gauntlets,
118,,Young Lion's Gauntlets,
0,,Cloth Trousers,On ground: Murkwater Cave
1,,Traveler's Boots,"On ground: Elphael, Brace of the Haligtree"
2,,Commoner's Shoes,"Enemy drop: Commoner (Chance),"
3,,Aristocrat Boots,"Enemy drop: Noble Sorcerer (Chance),"
4,,Old Aristocrat Shoes,"Enemy drop: Old Noble (Chance),"
5,,Page Trousers,"Enemy drop: Page (Chance), High Page (Chance),"
6,,Guardian Greaves,"Enemy drop: Guardian (Chance),"
7,,Prisoner Trousers,Buy from merchant: Hermit Merchant Ainsel River
8,,Mushroom Legs,On ground: Seethewater Cave
9,,Astrologer Trousers,Buy from merchant: Nomadic Merchant Liurnia of the Lakes
10,,Sorcerer Leggings,"Enemy drop: Glintstone Sorcerer (Chance), Twinsage Sorcerer (Chance),"
11,,Battlemage Legwraps,"Enemy drop: Battlemage (Chance),"
12,,Errant Sorcerer Boots,On ground: Hermit Village
13,,Spellblade's Trousers,Quest: Sorcerer Rogier
14,,Alberich's Trousers,On ground: Leyndell Royal Capital
15,,Preceptor's Trousers,Quest: Preceptor Seluvis
16,,Old Sorcerer's Legwraps,Quest: Sorceress Sellen
17,,Queen's Leggings,Buy from merchant: Enia
18,,Snow Witch Skirt,On ground: Renna's Rise Quest: Ranni
19,,Prophet Trousers,Buy from merchant: Nomadic Merchant West LimgraveHermit Merchant (Leyndell)
20,,Traveling Maiden Boots,On ground: Shack of the Lofty
21,,Finger Maiden Shoes,On ground: Church of Inhibition
22,,Sage Trousers,On ground: Stillwater Cave
23,,Gold Waistwrap,Quest: Brother Corhyn
24,,Perfumer Sarong,"Enemy drop: Perfumer (Chance),"
25,,Traveler's Slops,On ground: Street of Sages Ruins
26,,Depraved Perfumer Trousers,"Enemy drop: Depraved Perfumer (Chance),"
27,,Consort's Trousers,On ground: Volcano Manor Buy from merchant: Hermit Merchant (Leyndell) Quest: Volcano Manor
28,,Fur Leggings,"Enemy drop: Ancestral Follower (Chance),"
29,,Shaman Leggings,"Enemy drop: Ancestral Follower Shaman (Chance),"
30,,Godskin Apostle Trousers,"Enemy drop: Godskin Apostle in Divine Tower of Caelid,"
31,,Godskin Noble Trousers,"Enemy drop: Godskin Noble in Divine Tower of Liurnia,"
32,,Sanguine Noble Waistcloth,"Enemy drop: Sanguine Noble (NPC) ,"
33,,Leather Trousers,Buy from merchant: Nomadic Merchant Castle Morne Rampart
34,,Leather Boots,"Quest: Patches Enemy drop: Patches in The Shaded Castle,"
35,,Warrior Greaves,Buy from merchant: Isolated Merchant Raya Lucaria
36,,Noble's Trousers,On ground: East Windmill Pasture
37,,War Surgeon Trousers,"Enemy drop: Nameless White Mask ,"
38,,Nomadic Merchant's Trousers,On ground: Cathedral of the Forsaken
39,,Bandit Boots,Buy from merchant: Gatekeeper Gostoc
40,,Confessor Boots,Buy from merchant: Nomadic Merchant Mt. Gelmir
41,,Omenkiller Boots,"Enemy drop: Omenkiller in Perfumer's Ruins,"
42,,Foot Soldier Greaves,"Enemy drop: Soldier in Purified Ruins (Chance),"
43,,Vulgar Militia Greaves,"Enemy drop: Vulgar Militiamen (Chance),"
44,,Duelist Greaves,"Enemy drop: Frenzied Duelist (Chance),"
45,,Rotten Duelist Greaves,"Enemy drop: Rotten Duelist (Ordina, Liturgical Town) ,"
46,,Nox Greaves,"Enemy drop: Nox Swordstress (Chance), Nox Monk (Chance), Night Maiden (Chance),"
47,,Champion Gaiters,Buy from merchant: Nomadic Merchant Caelid South
48,,Chain Leggings,Buy from merchant: Merchant Kalé
49,,Godrick Soldier Greaves,"Enemy drop: Godrick Soldier (Sword & Shield) (Chance), Godrick Soldier (Sword) (Chance), Godrick Soldier (Warpick & Shield) (Chance),"
50,,Raya Lucarian Greaves,"Enemy drop: Raya Lucaria Soldier (Chance),"
51,,Radahn Soldier Greaves,"Enemy drop: Radahn Soldier (Chance),"
52,,Leyndell Soldier Greaves,"Enemy drop: Leyndell Soldier (Chance),"
53,,Haligtree Greaves,"Enemy drop: Haligtree Soldier (Chance),"
54,,Mausoleum Greaves,"Enemy drop: Mausoleum Soldier (Chance),"
55,,Exile Greaves,"Enemy drop: Exile Soldier (Chance),"
56,,Kaiden Trousers,"Enemy drop: Kaiden Sellsword (Chance),"
57,,Land of Reeds Greaves,Buy from merchant: Isolated Merchant Dragonbarrow
58,,White Reed Greaves,On ground: Spiritcaller's Cave
59,,Ronin's Greaves,Quest: Bloody Finger Hunter Yura
60,,Eccentric's Breeches,Quest: Sorceress Sellen
61,,Blue Silver Mail Skirt,"Enemy drop: Albinauric Wolfback Archer (Chance),"
62,,Fire Monk Greaves,"Enemy drop: Fire Monk (Chance),"
63,,Blackflame Monk Greaves,"Enemy drop: Blackflame Monk (Chance),"
64,,Zamor Legwraps,"Enemy drop: Ancient Hero of Zamor in Giant-Conquering Hero's Grave,"
65,,Black Knife Greaves,On ground: Ordina Liturgical Town
66,,Malenia's Greaves,Buy from merchant: Enia
67,,Elden Lord Greaves,Buy from merchant: Enia
68,,Knight Greaves,Buy from merchant: Twin Maiden Husks
69,,Vagabond Knight Greaves,Buy from merchant: Hermit Merchant Mountaintops East
70,,Carian Knight Greaves,On ground: Raya Lucaria Academy
71,,Godrick Knight Greaves,"Enemy drop: Godrick Knight (Chance),"
72,,Cuckoo Knight Greaves,"Enemy drop: Raya Lucaria Knight (Chance),"
73,,Redmane Knight Greaves,"Enemy drop: Radahn Knight (Chance),"
74,,Gelmir Knight Greaves,On ground: Gelmir Hero's Grave
75,,Leyndell Knight Greaves,"Enemy drop: Leyndell Knight (Chance),"
76,,Haligtree Knight Greaves,"Enemy drop: Haligtree Knight (Chance),"
77,,Mausoleum Knight Greaves,"Enemy drop: Mausoleum Knight (Chance),"
78,,Bloodhound Knight Greaves,"Enemy drop: Bloodhound Knight (Gelmir Hero's Grave) in Gelmir Hero's Grave,"
79,,Cleanrot Greaves,"Enemy drop: Lesser Cleanrot Knight in Swamp of Aeonia (Chance),"
80,,Raging Wolf Greaves,"Quest: Volcano Manor Enemy drop: Vargram the Raging Wolf ,"
81,,Hoslow's Greaves,"Quest: Volcano Manor Enemy drop: Juno Hoslow, Knight of Blood ,"
82,,Twinned Greaves,"Quest: D, Hunter of the Dead"
83,,Drake Knight Greaves,On ground: Crumbling Farum Azula
84,,Blaidd's Greaves,Quest: Blaidd
85,,Briar Greaves,Buy from merchant: Enia
86,,Fingerprint Greaves,"Quest: Festering Fingerprint Vyke Enemy drop: Roundtable Knight Vyke ,"
87,,Royal Remains Greaves,"Enemy drop: Ensha ,"
88,,All-Knowing Greaves,"Enemy drop: Sir Gideon Ofnir, the All-Knowing ,"
89,,Royal Knight Greaves,Buy from merchant: Enia
90,,Maliketh's Greaves,Buy from merchant: Enia
91,,Banished Knight Greaves,"Enemy drop: Banished Knight (Chance),"
92,,Night's Cavalry Greaves,"Enemy drop: Night's Cavalry in Consecrated Snowfield,"
93,,Veteran's Greaves,Buy from merchant: Enia
94,,Scaled Greaves,"Quest: Volcano Manor Enemy drop: Old Knight Istvan ,"
95,,Beast Champion Greaves,"Quest: Knight Bernahl Enemy drop: Recusant Bernahl ,"
96,,Tree Sentinel Greaves,"Enemy drop: Chariot in Auriza Hero's Grave,"
97,,Malformed Dragon Greaves,"Enemy drop: Draconic Tree Sentinel in Crumbling Farum Azula,"
98,,Crucible Greaves,"On ground: Deeproot Depths Enemy drop: Crucible Knight Ordovis ,"
99,,Radahn's Greaves,Buy from merchant: Enia
100,,Lionel's Greaves,On ground: Leyndell Royal Capital
101,,Bull-Goat Greaves,"Quest: Volcano Manor Enemy drop: Great Horned Tragoth (Chance),"
102,,Omen Greaves,Quest: Dung Eater
103,,Fire Prelate Greaves,"Enemy drop: Prelate (Chance),"
104,,Ansbach's Boots,
105,,Ascetic's Ankle Guards,
106,,Black Knight Greaves,
107,,Common Soldier Greaves,
108,,Dancer's Trousers,
109,,Death Knight Greaves,
110,,Divine Bird Warrior Greaves,
111,,Dryleaf Cuissardes,
112,,Fire Knight Greaves,
113,,Freyja's Greaves,
114,,Gaius's Greaves,
115,,Gravebird Anklets,
116,,Greaves of Night,
117,,Greaves of Solitude,
118,,High Priest Undergarments,
119,,Horned Warrior Greaves,
120,,Igon's Loincloth,
121,,Iron Rivet Greaves,
122,,Leather Leg Wraps,
123,,Messmer Soldier Greaves,
124,,Messmer's Greaves,
125,,Oathseeker Knight Greaves,
126,,Rakshasa Greaves,
127,,Rellana's Greaves,
128,,Shadow Militiaman Greaves,
129,,Soiled Loincloth,
130,,Thiollier's Trousers,
131,,Verdigris Greaves,
132,,Young Lion's Greaves,
0,,Crimson Amber Medallion,Buy from merchant: Nomadic Merchant Castle Morne Rampart
1,,Crimson Amber Medallion +1,On ground: Volcano Manor
2,,Crimson Amber Medallion +2,"On ground: Leyndell, Capital of Ash"
3,,Crimson Seed Talisman,On ground: Sainted Hero's Grave
4,,Blessed Dew Talisman,On ground: Leyndell Royal Capital
5,,Cerulean Amber Medallion,"Enemy drop: Bloodhound Knight (Boss) ,"
6,,Cerulean Amber Medallion +1,On ground: Castle Sol
7,,Cerulean Amber Medallion +2,On ground: Lunar Estate Ruins
8,,Cerulean Seed Talisman,On ground: Carian Study Hall
9,,Viridian Amber Medallion,"Enemy drop: Miranda the Blighted Bloom in Tombsward Cave,"
10,,Viridian Amber Medallion +1,"Enemy drop: Margit, the Fell Omen in Altus Plateau,"
11,,Viridian Amber Medallion +2,On ground: Miquella's Haligtree
12,,Green Turtle Talisman,On ground: Summonwater Village
13,,Arsenal Charm,Quest: Nepheli Loux
14,,Arsenal Charm +1,On ground: Altus Tunnel
15,,Great-Jar's Arsenal,On ground: Dragonbarrow
16,,Erdtree's Favor,On ground: Fringefolk Hero's Grave
17,,Erdtree's Favor +1,On ground: Cathedral of the Forsaken
18,,Erdtree's Favor +2,"On ground: Leyndell, Capital of Ash"
19,,Radagon's Scarseal,"Enemy drop: Ancient Hero of Zamor in Weeping Evergaol,"
20,,Radagon's Soreseal,On ground: Fort Faroth
21,,Marika's Scarseal,On ground: Siofra River
22,,Marika's Soreseal,"On ground: Elphael, Brace of the Haligtree"
23,,Starscourge Heirloom,On ground: Fort Gael
24,,Prosthesis-Wearer Heirloom,Quest: Millicent
25,,Stargazer Heirloom,On ground: Divine Tower of Liurnia Quest: Ranni
26,,Two Fingers Heirloom,On ground: Purified Ruins
27,,Dragoncrest Shield Talisman,On ground: Bestial Sanctum
28,,Dragoncrest Shield Talisman +1,On ground: Sainted Hero's Grave
29,,Dragoncrest Shield Talisman +2,On ground: Crumbling Farum Azula
30,,Dragoncrest Greatshield Talisman,"On ground: Elphael, Brace of the Haligtree"
31,,Spelldrake Talisman,"Enemy drop: Runebear in Earthbore Cave,"
32,,Spelldrake Talisman +1,"On ground: Sellia, Town of Sorcery"
33,,Spelldrake Talisman +2,On ground: Hidden Path to the Haligtree
34,,Flamedrake Talisman,"Enemy drop: Beastman of Farum Azula in Groveside Cave,"
35,,Flamedrake Talisman +1,On ground: Leyndell Royal Capital
36,,Flamedrake Talisman +2,"Enemy drop: Beastman of Farum Azula in Dragonbarrow Cave,"
37,,Boltdrake Talisman,On ground: Stormveil Castle
38,,Boltdrake Talisman +1,On ground: Old Altus Tunnel
39,,Boltdrake Talisman +2,On ground: Crumbling Farum Azula
40,,Haligdrake Talisman,On ground: Stranded Graveyard
41,,Haligdrake Talisman +1,On ground: Leyndell Catacombs
42,,Haligdrake Talisman +2,On ground: Mohgwyn Palace
43,,Pearldrake Talisman,On ground: The Four Belfries
44,,Pearldrake Talisman +1,On ground: Wyndham Ruins
45,,Pearldrake Talisman +2,On ground: Miquella's Haligtree
46,,Immunizing Horn Charm,On ground: Ainsel River
47,,Immunizing Horn Charm +1,"Enemy drop: Ancestral Follower (Lake of Rot) in Lake of Rot,"
48,,Stalwart Horn Charm,On ground: Liurnia of the Lakes
49,,Stalwart Horn Charm +1,On ground: Consecrated Snowfield
50,,Clarifying Horn Charm,On ground: Deep Siofra Well
51,,Clarifying Horn Charm +1,"On ground: Nokron, Eternal City"
52,,Mottled Necklace,"On ground: Nokron, Eternal City"
53,,Mottled Necklace +1,"On ground: Nokron, Eternal City"
54,,Prince of Death's Pustule,On ground: Stormveil Castle
55,,Prince of Death's Cyst,"Enemy drop: Runebear in Deeproot Depths,"
56,,Dagger Talisman,On ground: Volcano Manor
57,,Curved Sword Talisman,On ground: Stormveil Castle
58,,Twinblade Talisman,On ground: Castle Morne
59,,Axe Talisman,On ground: Mistwood Ruins
60,,Hammer Talisman,"Enemy drop: Recusant Henricus ,"
61,,Spear Talisman,On ground: Lakeside Crystal Cave
62,,Lance Talisman,On ground: Stormhill
63,,Claw Talisman,On ground: Stormveil Castle
64,,Greatshield Talisman,On ground: Altus Plateau
65,,Arrow's Sting Talisman,On ground: Redmane Castle
66,,Arrow's Reach Talisman,On ground: Gatefront Ruins
67,,Graven-School Talisman,On ground: Raya Lucaria Academy
68,,Graven-Mass Talisman,On ground: Albinauric Rise
69,,Faithful Canvas Talisman,On ground: Sellia Crystal Tunnel
70,,Flock's Canvas Talisman,Quest: Millicent
71,,Primal Glintstone Blade,On ground: Stargazer's Ruins
72,,Moon of Nokstella,"On ground: Nokstella, Eternal City"
73,,Old Lord's Talisman,On ground: Crumbling Farum Azula
74,,Radagon Icon,On ground: Raya Lucaria Academy
75,,Roar Medallion,"Enemy drop: Stonedigger Troll in Limgrave Tunnels,"
76,,Companion Jar,Quest: Iron Fist Alexander
77,,Perfumer's Talisman,On ground: Perfumer's Ruins
78,,Carian Filigreed Crest,Buy from merchant: War Counselor Iji Quest: Ranni
79,,Warrior Jar Shard,Quest: Iron Fist Alexander
80,,Shard of Alexander,Quest: Iron Fist Alexander
81,,Godfrey Icon,"Enemy drop: Godefroy The Grafted ,"
82,,Bull-Goat's Talisman,On ground: Dragonbarrow Cave
83,,Blue Dancer Charm,"Enemy drop: Guardian Golem ,"
84,,Magic Scorpion Charm,Quest: Preceptor Seluvis
85,,Fire Scorpion Charm,On ground: Fort Laiedd
86,,Lightning Scorpion Charm,On ground: Wyndham Catacombs
87,,Sacred Scorpion Charm,"Enemy drop: Anastasia, Tarnished-Eater in Smoldering Church,"
88,,Crucible Scale Talisman,On ground: Leyndell Catacombs
89,,Crucible Feather Talisman,On ground: Auriza Hero's Grave
90,,Crucible Knot Talisman,"Enemy drop: Omenkiller in Village of the Albinaurics,"
91,,Red-Feathered Branchsword,"Enemy drop: Deathbird in Liurnia of the Lakes,"
92,,Blue-Feathered Branchsword,"Enemy drop: Deathbird in Warmaster's Shack,"
93,,Ritual Sword Talisman,"Enemy drop: Demi-Human Queen Gilika ,"
94,,Ritual Shield Talisman,On ground: Leyndell Royal Capital
95,,Assassin's Crimson Dagger,"Enemy drop: Black Knife Assassin in Deathtouched Catacombs,"
96,,Assassin's Cerulean Dagger,"Enemy drop: Black Knife Assassin in Black Knife Catacombs,"
97,,Winged Sword Insignia,"Enemy drop: Cleanrot Knight in Stillwater Cave,"
98,,Rotten Winged Sword Insignia,Quest: Millicent
99,,Millicent's Prosthesis,Quest: Millicent
100,,Godskin Swaddling Cloth,"Enemy drop: Spirit-Caller Snail in Spiritcaller's Cave,"
101,,Kindred of Rot's Exultation,"Enemy drop: Kindred of Rot ,"
102,,Lord of Blood's Exultation,"Enemy drop: Esgar, Priest of Blood ,"
103,,Taker's Cameo,Quest: Volcano Manor
104,,Ancestral Spirit's Horn,Buy from merchant: Enia
105,,Golden Scarab,"Enemy drop: Cleanrot Knight in Abandoned Cave,"
106,,Silver Scarab,On ground: Hidden Path to the Haligtree
107,,Crepus's Vial,"Quest: Volcano Manor Enemy drop: Rileigh the Idle ,"
108,,Concealing Veil,"Enemy drop: Black Knife Assassin in Sage's Cave,"
109,,Longtail Cat Talisman,On ground: Raya Lucaria Academy
110,,Furled Finger's Trick-Mirror,Buy from merchant: Twin Maiden Husks
111,,Host's Trick-Mirror,Buy from merchant: Twin Maiden Husks
112,,Shabriri's Woe,On ground: Frenzied Flame Village
113,,Daedicar's Woe,Quest: Rya
114,,Sacrificial Twig,"On ground: Castle MorneMistwoodMalefactor's EvergaolAltus Plateau Buy from merchant: Isolated Merchant Weeping PeninsulaIsolated Merchant Raya LucariaIsolated Merchant DragonbarrowPatches Quest: FiaEdgar Enemy drop: Lesser Wormface (Chance),"
115,,Aged One's Exultation,
116,,Ailment Talisman,
